,importance
ch3_mav,0.04028687822186506
ch3_wl,0.03763211071693015
ch3_bp,0.03732087068940961
ch2_mobility,0.031320817375012265
ch3_ssc,0.02997721199436243
ch3_complexity,0.028935066235305503
ch3_mobility,0.02839189880104155
ch1_mobility,0.028310779566835233
ch1_mav,0.028023695678640114
ch2_complexity,0.0278889025166548
ch3_activity,0.02548045077755366
ch4_wl,0.02546061484669865
ch2_wl,0.02412113945264113
ch3_rms,0.023698365027248376
ch1_rms,0.0226811537945932
ch1_complexity,0.02199399541199463
ch4_bp,0.021891397230807984
ch1_activity,0.021734921151449517
ch1_wl,0.021367702560876056
ch1_var,0.021319871042428624
ch4_mobility,0.021264521787697017
ch4_zc,0.020743920569932794
ch2_mf,0.020572736453297668
ch1_mf,0.019548853246444554
ch4_pf,0.019456291208005495
ch3_var,0.019406579780392178
ch4_mf,0.019046987281308894
ch2_bp,0.019014936011356117
ch4_ssc,0.018948960903582328
ch4_complexity,0.01813877536812038
ch3_mf,0.017430405750393615
ch1_bp,0.017349401438963064
ch2_var,0.016895312510544127
ch3_zc,0.016880791831331385
ch4_mav,0.016820958242943367
ch2_zc,0.01630457987671274
ch2_rms,0.016077819219671816
ch2_mav,0.016027508697495797
ch2_activity,0.01541142761534991
ch1_ssc,0.015248974065561575
ch4_activity,0.01430596438730728
ch4_var,0.01375503432125619
ch2_ssc,0.012878081684239184
ch1_zc,0.012476565845760684
ch4_rms,0.012378485897529523
ch2_pf,0.008890825015244195
ch3_pf,0.00858163688783941
ch1_pf,0.008305821009370119
